Size,Sweetness,Juiciness,Ripeness,Quality
-3.970048523,5.346329613,1.844900361,0.329839797,1
-1.195217191,3.664058758,0.853285795,0.867530082,1
-0.292023862,-1.738429162,2.838635512,-0.038033328,0
-0.657195773,1.324873847,3.637970491,-3.413761338,1
1.36421682,-0.384658206,3.030874354,-1.303849429,1
-3.425399755,-1.913511195,-3.85307147,1.914615916,0
1.331605736,0.875974244,3.106344455,-1.847416733,1
-1.995462096,1.530643583,0.158834003,0.974437858,1
-3.867632233,0.986429067,2.292872919,4.080920787,0
-0.727982709,-4.092222827,0.393714261,1.620856772,0
-2.69933629,-1.418506853,2.371074371,3.403164523,0
2.450959845,-1.635040727,-2.08731667,1.214321691,1
-0.170811719,-1.771844728,-3.094554738,-0.624884375,0
-1.345530536,2.044143754,0.997567093,0.434179855,1
2.839580937,-1.019797291,-1.300060883,0.58237862,1
-2.659887385,4.230403587,2.180911101,-0.088775396,1
-1.468951547,-2.214372889,2.864448854,3.965955655,0
-0.074370177,0.249767641,1.4097551,-2.643810206,1
-0.302364267,-2.442337223,0.449791675,-0.074362452,0
-2.108049899,-1.156193279,1.561543116,-4.630174264,1
-2.334589505,-3.452627724,4.076462369,6.346445353,0
1.177592782,-1.387116215,1.069288382,-3.734805414,1
-2.423946222,0.146030407,2.990560508,0.779472898,0
0.135714199,-2.196146456,0.580537553,0.227308777,0
0.522960759,-0.743518743,-4.207543546,-1.825231216,0
-1.299468393,-1.129402004,-2.807550163,1.714630108,0
-0.300698281,0.921006242,2.274746687,0.745336375,1
1.999830964,-2.099615991,-0.989495892,0.373330128,0
1.44605205,-1.77752075,-0.341670322,-1.322439494,0
-0.595825477,-1.769318974,-0.432874451,0.800438687,0
0.41049215,-3.335948019,-2.733844264,2.585985706,0
-2.560871547,2.413774105,3.271688133,-1.797184556,1
1.681662618,-0.079805091,3.034812556,-0.708611234,1
-0.588796035,2.324295089,5.148739416,-3.351988405,0
-0.034367939,2.329101271,0.825239311,1.062672091,1
-0.955402343,-4.087156169,1.003216188,4.97563997,0
-3.061165273,-1.076638228,1.764140258,-0.05647271,1
3.948113709,-4.773780118,0.790539691,1.583097197,1
-1.796718509,3.685436759,1.32029846,1.480109529,1
1.286737909,0.956133102,4.786375676,-3.382357404,1
1.196545025,-0.921516758,0.404741482,-0.700778848,0
-0.354190342,1.36698489,0.992668519,1.525608545,1
-1.53860666,1.844950057,-0.425815521,1.25976818,0
0.807854104,0.179226346,-1.611859169,-2.776274958,0
3.930361392,-2.667949537,0.092761232,1.095793658,1
0.03347095,-0.481202468,-0.609872897,-3.231504027,1
-0.487366694,-0.779231515,1.477926984,0.267788073,1
-1.387990181,-2.349216852,1.860715718,2.317309906,0
-3.328571498,-1.424402957,1.576921347,2.57780352,0
-1.107060152,-2.635197022,-0.02399536,2.218099369,0
-2.938616815,0.802257441,-0.336348939,1.43064807,1
-0.411307683,-2.213864776,1.576184296,0.929197409,0
1.343763324,-3.461538942,0.280515139,-0.025436811,1
1.205450296,0.652683061,1.34691458,1.115062157,1
3.010344278,-3.110977964,3.567608188,1.696232599,1
2.032797084,-2.409689916,1.675484552,-0.904588536,1
1.822657318,-0.367820835,-0.789107409,2.135911779,1
1.098486821,1.211131183,-1.029902705,2.622737988,1
