Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Actual,Predicted
0.344003022,-3.483980787,1.174854844,2.756766666,1.493231386,2.49866648,1.602770371,1,1
-1.561175378,-1.003403528,-0.177572787,3.168429813,-1.721205206,2.084304622,0.599425465,0,0
-2.260565556,-0.598817666,2.605248562,1.534068608,1.355840848,-3.367617094,6.267182876,0,1
1.832077703,2.206428438,2.037308274,-1.901648111,0.355729197,-0.795370632,5.087458065,1,1
-3.469966894,0.161187416,1.817751338,-1.059005682,1.246757847,1.046128479,-0.819232392,0,1
-1.763818073,-0.88671809,-0.088733995,1.73953074,0.680226695,0.69054416,2.5054737,0,0
-1.196292581,-0.388059273,-1.953929762,-0.560576315,2.214945523,2.424549859,-2.306351404,0,0
1.62467996,-1.832174211,-3.455343921,1.607084729,0.276397874,3.290654055,-2.109832124,0,0
-3.061165273,0.837103637,-1.076638228,1.524738013,1.764140258,-0.05647271,-1.495112616,1,0
-2.178706038,0.534049957,0.205774307,1.411884253,2.474844555,-0.368549114,-1.911851627,1,1
-0.257279469,-0.002860688,-2.370344895,-1.454967184,1.522914481,3.645910077,-0.76858734,0,0
1.288315468,0.118324055,-2.03989032,1.254207548,0.421780581,0.273822524,0.064352175,0,1
-0.069839744,-1.344485031,-1.082423697,2.30327747,3.804507659,-2.572683226,2.98479691,1,1
-2.28722507,0.162205567,-1.196329112,0.670175675,-0.00090524,2.491398576,0.823026283,0,0
-1.346421206,0.325349557,0.363486687,0.919303703,-1.428069002,-0.532935378,0.630116237,0,0
1.643184405,-2.031034223,-1.365666607,0.277604934,0.336991226,0.380510019,2.047649446,1,1
-1.780331548,-0.647456049,0.921313956,0.190042573,2.566731922,0.032294674,2.274141292,0,1
-0.433820028,-0.01531881,0.143291289,0.64761814,-0.790599917,-0.710096682,-0.311928118,0,0
0.824669522,-1.831780263,-0.127098432,1.285035772,2.62477689,-2.199375268,0.919588001,1,1
-1.553346238,0.694739637,-0.161778986,3.545424868,-0.105111122,-4.029710309,-0.625875999,1,1
-1.733815615,0.351822194,1.870895093,2.979014913,-2.047080866,-1.69042905,0.101005434,0,1
-0.231493811,-2.663172054,3.445823059,0.790059602,1.081582383,0.964338833,-1.299867748,1,1
-2.245482916,-0.047701365,0.250696269,0.771605049,2.243000186,-0.687586724,3.378856539,0,1
-2.114708904,-1.743470154,-0.990137997,1.988602646,-0.467594444,1.322876933,-1.612598392,0,0
-1.674179974,0.396477028,1.075878215,1.092842357,1.384085548,-0.199555485,-0.404406676,0,1
-6.08771509,-2.476738564,0.305402927,1.721601929,1.866072832,5.384143263,2.004807236,0,0
-1.702933059,-3.828733221,0.172268874,0.603078586,-1.6370191,3.352336849,-2.281646448,0,0
0.95947521,1.17520878,-1.558681656,3.150679291,-1.332056334,-1.162085781,0.936264265,1,1
-1.090186609,0.376934444,-2.759203843,0.645653472,3.195249541,1.435176416,0.859575031,0,0
0.273757481,-1.723821116,-0.376106844,0.81706123,0.992272417,-0.81916701,1.29348935,0,1
-1.489842526,-1.990071707,1.764041148,0.58046067,2.079105366,0.359361502,-2.150778123,1,1
-2.253727547,-0.356549007,-2.4004501,1.671237171,1.08206531,1.409127744,-1.788594744,0,0
2.285058014,-2.401362129,-1.918880784,0.039509317,2.393542261,-0.085040676,-0.369305737,1,1
